address,city,days_open,latitude,name,state,zip,longitude
5901 Spruce St.,Philadelphia,['Thursday'],39.9565673,59th Street Baptist Church,PA,19143,-75.2400554
1271 E. Maple Ave.,Langhorne,['Thursday'],40.1774272,A Church of Living Hope,PA,19047,-74.914009
100 N. 63rd St.,Philadelphia,['Saturday'],39.964411,Abundant Life Healing Fellowship Church,PA,19139,-75.246505
4202 Germantown Ave.,Philadelphia,['Thursday'],40.0183165,Abyssinian Baptist Church,PA,19144,-75.1557601
212 S. High St.,West Chester,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']",39.95791952,ACT in Faith,PA,19382,-75.60266405
2042 W. Jefferson St.,Philadelphia,['Wednesday'],39.97731131,"Acts Of Kindness, Inc. Food Pantry",PA,19121,-75.16913754
5524 Chester Ave.,Philadelphia,['Wednesday'],39.93820667,African Cultural Alliance of North America,PA,19143,-75.22487067
5911 Larchwood Ave.,Philadelphia,"['Monday', 'Tuesday', 'Wednesday', 'Thursday']",39.953935,Allen African Methodist Episcopal Church Food Pantry,PA,19143,-75.2407034
36 Ardmore Ave.,Ardmore,['Monday'],40.00821025,Ardmore Food Pantry,PA,19003,-75.29399425
1428 Poplar St.,Philadelphia,['Wednesday'],39.9701829,Baptist Women's Center of Phila.,PA,19130,-75.1609083
"5409 Bartram Dr., 2-B",Philadelphia,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']",39.93104266,Bartram Resident Council,PA,19143,-75.21468502
2107 W. Toronto St.,Philadelphia,['Saturday'],40.0008448,"Beloved Baptist Church, Inc. Food Pantry",PA,19132,-75.16502855
400 Ashbourne Rd.,Cheltenham,['Thursday'],40.061155,Berachah Church,PA,19012,-75.098759
2101 N. Broad St.,Philadelphia,"['Wednesday', 'Friday', 'Saturday']",39.98487,Berean Presbyterian Care Closet,PA,19122,-75.1561973
2625 W. 9th St.,Chester,"['Tuesday', 'Wednesday']",39.8368286,Bernardine Center,PA,19013,-75.3934386
575 N. Keim St.,Pottstown,['Monday'],40.24982863,Bethel Community Church of Pottstown,PA,19464,-75.62201684
2901 W. Cheltenham Ave,Wyncote,['Thursday'],40.0760847,Bethel Deliverance International Church,PA,19095,-75.16168807
1900 W. York St.,Philadelphia,['Thursday'],39.99029755,Bethel Presbyterian Church,PA,19132,-75.16385543
